timestamp,event_type,slot,gate,duration_seconds,fee,message
2026-03-17 18:04:50,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 18:04:55,heartbeat,,,,,Heartbeat
2026-03-17 18:05:05,heartbeat,,,,,Heartbeat
2026-03-17 18:05:14,parking_started,slot1,,,,slot1 occupied
2026-03-17 18:05:15,heartbeat,,,,,Heartbeat
2026-03-17 18:05:22,parking_finished,slot1,,7,0,slot1 freed | Duration: 7s | Fee: 0 Riel
2026-03-17 18:05:26,heartbeat,,,,,Heartbeat
2026-03-17 18:05:27,parking_started,slot1,,,,slot1 occupied
2026-03-17 18:05:30,parking_finished,slot1,,3,0,slot1 freed | Duration: 3s | Fee: 0 Riel
2026-03-17 18:05:31,parking_started,slot2,,,,slot2 occupied
2026-03-17 18:05:32,parking_finished,slot2,,0,0,slot2 freed | Duration: 0s | Fee: 0 Riel
2026-03-17 18:05:36,heartbeat,,,,,Heartbeat
2026-03-17 18:05:46,heartbeat,,,,,Heartbeat
2026-03-17 18:05:56,heartbeat,,,,,Heartbeat
2026-03-17 18:06:06,heartbeat,,,,,Heartbeat
2026-03-17 18:06:16,heartbeat,,,,,Heartbeat
2026-03-17 18:06:27,heartbeat,,,,,Heartbeat
2026-03-17 18:06:37,heartbeat,,,,,Heartbeat
2026-03-17 18:06:47,heartbeat,,,,,Heartbeat
2026-03-17 18:06:56,entry_gate_opened,,entry,,,Entry gate open
2026-03-17 18:06:57,heartbeat,,,,,Heartbeat
2026-03-17 18:07:03,entry_gate_closed,,entry,,,Entry gate closed
2026-03-17 18:07:07,heartbeat,,,,,Heartbeat
2026-03-17 18:07:11,exit_gate_opened,,exit,,,Exit gate open
2026-03-17 18:07:18,exit_gate_closed,,exit,,,Exit gate closed
2026-03-17 18:07:18,heartbeat,,,,,Heartbeat
2026-03-17 18:07:27,led_changed,,,,,LED turned on
2026-03-17 18:07:28,heartbeat,,,,,Heartbeat
2026-03-17 18:07:30,led_changed,,,,,LED turned on
2026-03-17 18:07:33,led_changed,,,,,LED turned off
2026-03-17 18:07:38,heartbeat,,,,,Heartbeat
2026-03-17 18:07:48,heartbeat,,,,,Heartbeat
2026-03-17 18:07:59,heartbeat,,,,,Heartbeat
2026-03-17 18:08:09,heartbeat,,,,,Heartbeat
2026-03-17 18:08:19,heartbeat,,,,,Heartbeat
2026-03-17 18:08:29,heartbeat,,,,,Heartbeat
2026-03-17 18:08:39,heartbeat,,,,,Heartbeat
2026-03-17 18:08:49,heartbeat,,,,,Heartbeat
